#{"t_start": 1620967668.4467273, "env_id": "HalfCheetah-v3"}
r,l,t
24.545661,1000,6933.025626
23.911228,1000,6939.675432
25.003725,1000,6946.296025
25.126708,1000,6952.914674
24.384224,1000,6959.630326
24.123397,1000,6966.209839
24.008804,1000,6972.843982
25.297883,1000,6985.936653
24.448202,1000,6992.603193
24.252954,1000,6999.232615
24.985241,1000,7005.896255
25.256381,1000,7012.635098
25.070587,1000,7019.268883
25.054003,1000,7025.870294
24.345548,1000,7032.464195
25.004506,1000,7039.202504
25.051413,1000,7045.732423
25.098293,1000,7058.822428
25.177154,1000,7065.545464
25.866587,1000,7072.206626
25.065423,1000,7078.85338
26.432256,1000,7085.436158
24.889118,1000,7092.109714
25.555331,1000,7098.700522
24.984457,1000,7105.313919
25.544597,1000,7111.928688
